,Id,Customer_Issue_Summary__c,Customer_Issue__c,Resolution_Summary__c,Resolution__c,component,type,Status,ClosedDate,SerialNumberOrg,SerialNumberContract,Qty,src,flag_validinstall,SerialNumber
11,50046000000rCLSAA2,"To upgrade PDUs skins with brightly colored panels (Red and Blue) on (10) PDUs; 110-4585-1-10  
- Units are accessible from all sides
- **PDU frame will remain the same
black color**

PDU front doors on (10) and removal of (9) rear panels; One unit cannot change the rear panel
- **Interior door will remain the same
IBM white color**",Hardware Issue - PDU,"Comcast - Philadelphia, PA
5/2/17

All covers have been installed.
A1, A2, A3, A4, A5 = These units were given the red covers.
B1, B2, B3, B4, B5 = These units were given the blue covers.",Site Visit,Display,upgrade,Closed,5/3/2017 17:30,110-4585-1-10,"To upgrade PDUs skins with brightly colored panels (Red and Blue) on (10) PDUs; 110-4585-1-10  
- Units are accessible from all sides
- **PDU frame will remain the same
black color**

PDU front doors on (10) and removal of (9) rear panels; One unit cannot change the rear panel
- **Interior door will remain the same
IBM white color**",0.0,Customer_Issue_Summary__c,True,110-4585-1
12,50046000000rCLSAA2,"To upgrade PDUs skins with brightly colored panels (Red and Blue) on (10) PDUs; 110-4585-1-10  
- Units are accessible from all sides
- **PDU frame will remain the same
black color**

PDU front doors on (10) and removal of (9) rear panels; One unit cannot change the rear panel
- **Interior door will remain the same
IBM white color**",Hardware Issue - PDU,"Comcast - Philadelphia, PA
5/2/17

All covers have been installed.
A1, A2, A3, A4, A5 = These units were given the red covers.
B1, B2, B3, B4, B5 = These units were given the blue covers.",Site Visit,Display,upgrade,Closed,5/3/2017 17:30,110-4585-1-10,"To upgrade PDUs skins with brightly colored panels (Red and Blue) on (10) PDUs; 110-4585-1-10  
- Units are accessible from all sides
- **PDU frame will remain the same
black color**

PDU front doors on (10) and removal of (9) rear panels; One unit cannot change the rear panel
- **Interior door will remain the same
IBM white color**",0.0,Customer_Issue_Summary__c,True,110-4585-2
13,50046000000rCLSAA2,"To upgrade PDUs skins with brightly colored panels (Red and Blue) on (10) PDUs; 110-4585-1-10  
- Units are accessible from all sides
- **PDU frame will remain the same
black color**

PDU front doors on (10) and removal of (9) rear panels; One unit cannot change the rear panel
- **Interior door will remain the same
IBM white color**",Hardware Issue - PDU,"Comcast - Philadelphia, PA
5/2/17

All covers have been installed.
A1, A2, A3, A4, A5 = These units were given the red covers.
B1, B2, B3, B4, B5 = These units were given the blue covers.",Site Visit,Display,upgrade,Closed,5/3/2017 17:30,110-4585-1-10,"To upgrade PDUs skins with brightly colored panels (Red and Blue) on (10) PDUs; 110-4585-1-10  
- Units are accessible from all sides
- **PDU frame will remain the same
black color**

PDU front doors on (10) and removal of (9) rear panels; One unit cannot change the rear panel
- **Interior door will remain the same
IBM white color**",0.0,Customer_Issue_Summary__c,True,110-4585-3
14,50046000000rCLSAA2,"To upgrade PDUs skins with brightly colored panels (Red and Blue) on (10) PDUs; 110-4585-1-10  
- Units are accessible from all sides
- **PDU frame will remain the same
black color**

PDU front doors on (10) and removal of (9) rear panels; One unit cannot change the rear panel
- **Interior door will remain the same
IBM white color**",Hardware Issue - PDU,"Comcast - Philadelphia, PA
5/2/17

All covers have been installed.
A1, A2, A3, A4, A5 = These units were given the red covers.
B1, B2, B3, B4, B5 = These units were given the blue covers.",Site Visit,Display,upgrade,Closed,5/3/2017 17:30,110-4585-1-10,"To upgrade PDUs skins with brightly colored panels (Red and Blue) on (10) PDUs; 110-4585-1-10  
- Units are accessible from all sides
- **PDU frame will remain the same
black color**

PDU front doors on (10) and removal of (9) rear panels; One unit cannot change the rear panel
- **Interior door will remain the same
IBM white color**",0.0,Customer_Issue_Summary__c,True,110-4585-4
15,50046000000rCLSAA2,"To upgrade PDUs skins with brightly colored panels (Red and Blue) on (10) PDUs; 110-4585-1-10  
- Units are accessible from all sides
- **PDU frame will remain the same
black color**

PDU front doors on (10) and removal of (9) rear panels; One unit cannot change the rear panel
- **Interior door will remain the same
IBM white color**",Hardware Issue - PDU,"Comcast - Philadelphia, PA
5/2/17

All covers have been installed.
A1, A2, A3, A4, A5 = These units were given the red covers.
B1, B2, B3, B4, B5 = These units were given the blue covers.",Site Visit,Display,upgrade,Closed,5/3/2017 17:30,110-4585-1-10,"To upgrade PDUs skins with brightly colored panels (Red and Blue) on (10) PDUs; 110-4585-1-10  
- Units are accessible from all sides
- **PDU frame will remain the same
black color**

PDU front doors on (10) and removal of (9) rear panels; One unit cannot change the rear panel
- **Interior door will remain the same
IBM white color**",0.0,Customer_Issue_Summary__c,True,110-4585-5
16,50046000000rCLSAA2,"To upgrade PDUs skins with brightly colored panels (Red and Blue) on (10) PDUs; 110-4585-1-10  
- Units are accessible from all sides
- **PDU frame will remain the same
black color**

PDU front doors on (10) and removal of (9) rear panels; One unit cannot change the rear panel
- **Interior door will remain the same
IBM white color**",Hardware Issue - PDU,"Comcast - Philadelphia, PA
5/2/17

All covers have been installed.
A1, A2, A3, A4, A5 = These units were given the red covers.
B1, B2, B3, B4, B5 = These units were given the blue covers.",Site Visit,Display,upgrade,Closed,5/3/2017 17:30,110-4585-1-10,"To upgrade PDUs skins with brightly colored panels (Red and Blue) on (10) PDUs; 110-4585-1-10  
- Units are accessible from all sides
- **PDU frame will remain the same
black color**

PDU front doors on (10) and removal of (9) rear panels; One unit cannot change the rear panel
- **Interior door will remain the same
IBM white color**",0.0,Customer_Issue_Summary__c,True,110-4585-6
17,50046000000rCLSAA2,"To upgrade PDUs skins with brightly colored panels (Red and Blue) on (10) PDUs; 110-4585-1-10  
- Units are accessible from all sides
- **PDU frame will remain the same
black color**

PDU front doors on (10) and removal of (9) rear panels; One unit cannot change the rear panel
- **Interior door will remain the same
IBM white color**",Hardware Issue - PDU,"Comcast - Philadelphia, PA
5/2/17

All covers have been installed.
A1, A2, A3, A4, A5 = These units were given the red covers.
B1, B2, B3, B4, B5 = These units were given the blue covers.",Site Visit,Display,upgrade,Closed,5/3/2017 17:30,110-4585-1-10,"To upgrade PDUs skins with brightly colored panels (Red and Blue) on (10) PDUs; 110-4585-1-10  
- Units are accessible from all sides
- **PDU frame will remain the same
black color**

PDU front doors on (10) and removal of (9) rear panels; One unit cannot change the rear panel
- **Interior door will remain the same
IBM white color**",0.0,Customer_Issue_Summary__c,True,110-4585-7
18,50046000000rCLSAA2,"To upgrade PDUs skins with brightly colored panels (Red and Blue) on (10) PDUs; 110-4585-1-10  
- Units are accessible from all sides
- **PDU frame will remain the same
black color**

PDU front doors on (10) and removal of (9) rear panels; One unit cannot change the rear panel
- **Interior door will remain the same
IBM white color**",Hardware Issue - PDU,"Comcast - Philadelphia, PA
5/2/17

All covers have been installed.
A1, A2, A3, A4, A5 = These units were given the red covers.
B1, B2, B3, B4, B5 = These units were given the blue covers.",Site Visit,Display,upgrade,Closed,5/3/2017 17:30,110-4585-1-10,"To upgrade PDUs skins with brightly colored panels (Red and Blue) on (10) PDUs; 110-4585-1-10  
- Units are accessible from all sides
- **PDU frame will remain the same
black color**

PDU front doors on (10) and removal of (9) rear panels; One unit cannot change the rear panel
- **Interior door will remain the same
IBM white color**",0.0,Customer_Issue_Summary__c,True,110-4585-8
19,50046000000rCLSAA2,"To upgrade PDUs skins with brightly colored panels (Red and Blue) on (10) PDUs; 110-4585-1-10  
- Units are accessible from all sides
- **PDU frame will remain the same
black color**

PDU front doors on (10) and removal of (9) rear panels; One unit cannot change the rear panel
- **Interior door will remain the same
IBM white color**",Hardware Issue - PDU,"Comcast - Philadelphia, PA
5/2/17

All covers have been installed.
A1, A2, A3, A4, A5 = These units were given the red covers.
B1, B2, B3, B4, B5 = These units were given the blue covers.",Site Visit,Display,upgrade,Closed,5/3/2017 17:30,110-4585-1-10,"To upgrade PDUs skins with brightly colored panels (Red and Blue) on (10) PDUs; 110-4585-1-10  
- Units are accessible from all sides
- **PDU frame will remain the same
black color**

PDU front doors on (10) and removal of (9) rear panels; One unit cannot change the rear panel
- **Interior door will remain the same
IBM white color**",0.0,Customer_Issue_Summary__c,True,110-4585-9
20,50046000000rCLSAA2,"To upgrade PDUs skins with brightly colored panels (Red and Blue) on (10) PDUs; 110-4585-1-10  
- Units are accessible from all sides
- **PDU frame will remain the same
black color**

PDU front doors on (10) and removal of (9) rear panels; One unit cannot change the rear panel
- **Interior door will remain the same
IBM white color**",Hardware Issue - PDU,"Comcast - Philadelphia, PA
5/2/17

All covers have been installed.
A1, A2, A3, A4, A5 = These units were given the red covers.
B1, B2, B3, B4, B5 = These units were given the blue covers.",Site Visit,Display,upgrade,Closed,5/3/2017 17:30,110-4585-1-10,"To upgrade PDUs skins with brightly colored panels (Red and Blue) on (10) PDUs; 110-4585-1-10  
- Units are accessible from all sides
- **PDU frame will remain the same
black color**

PDU front doors on (10) and removal of (9) rear panels; One unit cannot change the rear panel
- **Interior door will remain the same
IBM white color**",0.0,Customer_Issue_Summary__c,True,110-4585-10
